# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('nonrev_aa_roottest.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
22,-32193.86026,12.41841185,0.004,0.055,0.399,0.003283309633,0.03970295321
21,-32193.86027,12.41841986,0.004,0.055,0.399,0.003282941794,0.03990418452
28,-32193.90681,12.4649619,0,0.009,0.375,0.0002226188916,0.01472017777
27,-32193.90682,12.46496251,0,0.009,0.375,0.0002226365146,0.01472137486
31,-32193.90683,12.46498203,0,0.009,0.375,0.0002227081362,0.01458696633
29,-32193.98292,12.54106902,0.001,0.007,0.368,0.0002796773672,0.01420955705
26,-32194.01337,12.57152066,0,0.008,0.368,0.0002117526768,0.01592407761
25,-32194.01338,12.57152961,0,0.008,0.368,0.0002117651093,0.01592170711
45,-32194.04187,12.60002039,0.006,0.01,0.366,0.001654863104,0.002229517136
65,-32194.19547,12.75361959,0,0.001,0.318,3.584101161e-05,0.05003031107
822,-32194.2013,12.75944369,0,0.001,0.318,3.56154538e-05,0.05015086328
17,-32194.2882,12.84634588,0,0.013,0.347,0.0001619480593,0.01820369536
18,-32194.2882,12.84634856,0,0.013,0.347,0.000161947652,0.01820400032
37,-32194.2895,12.8476434,0,0.005,0.336,0.0002034822721,3.918204322e-93
16,-32194.29025,12.84839241,0,0.013,0.347,0.0001618524617,0.01693637719
19,-32194.29224,12.8503898,0,0.013,0.347,0.0001614053914,0.01664445706
